Country,Commodity type,srcYear,Imports or exports,Quantity of imports or exports of principal agricultural commodities ,Value of imports or exports of principal agricultural commodities ,YearCode,Year
India,Guargam meal,2011-12,Imports,0.3,9.9,2011,"Financial Year (Apr - Mar), 2011"
India,Sesame seeds,2011-12,Imports,0.61,3.93,2011,"Financial Year (Apr - Mar), 2011"
India,Cashew nut shell liquid,2011-12,Exports,13.19,59.46,2011,"Financial Year (Apr - Mar), 2011"
India,Alcoholic beverages,2011-12,Imports,,1309.77,2011,"Financial Year (Apr - Mar), 2011"
India,Groundnut,2011-12,Imports,0.1,0.47,2011,"Financial Year (Apr - Mar), 2011"
India,Shellac,2011-12,Exports,4.34,256.79,2011,"Financial Year (Apr - Mar), 2011"
India,Oil meals,2011-12,Imports,86.13,98.72,2011,"Financial Year (Apr - Mar), 2011"
India,Tea,2011-12,Imports,22.43,218.91,2011,"Financial Year (Apr - Mar), 2011"
India,Marine products,2011-12,Imports,34.22,569.53,2011,"Financial Year (Apr - Mar), 2011"
India,Jute hessian,2011-12,Exports,,945.83,2011,"Financial Year (Apr - Mar), 2011"
India,Other cereals,2011-12,Exports,4072.57,5492.92,2011,"Financial Year (Apr - Mar), 2011"
India,Cereal preparations,2011-12,Exports,299.62,1888.62,2011,"Financial Year (Apr - Mar), 2011"
India,Other cereals,2011-12,Imports,15.36,30.04,2011,"Financial Year (Apr - Mar), 2011"
India,Ayush and herbal products,2011-12,Imports,0.89,184.75,2011,"Financial Year (Apr - Mar), 2011"
India,Cashew,2011-12,Exports,107.81,4390.16,2011,"Financial Year (Apr - Mar), 2011"
India,Vegetable oils,2011-12,Imports,7081.98,38909.02,2011,"Financial Year (Apr - Mar), 2011"
India,Cocoa products,2011-12,Exports,16.68,175.98,2011,"Financial Year (Apr - Mar), 2011"
India,Rice- Basmati,2011-12,Exports,3169.45,15449.6,2011,"Financial Year (Apr - Mar), 2011"
India,"Jute, raw",2011-12,Imports,181.26,449.17,2011,"Financial Year (Apr - Mar), 2011"
India,Milled products,2011-12,Exports,171.12,358.92,2011,"Financial Year (Apr - Mar), 2011"
India,Castor oil,2011-12,Exports,492.63,4571.67,2011,"Financial Year (Apr - Mar), 2011"
India,Misc processed items,2011-12,Exports,,1434.17,2011,"Financial Year (Apr - Mar), 2011"
India,Pulses,2011-12,Imports,3495.84,9448.35,2011,"Financial Year (Apr - Mar), 2011"
India,Jute hessian,2011-12,Imports,,177.34,2011,"Financial Year (Apr - Mar), 2011"
India,"Jute, raw",2011-12,Exports,28.11,80.92,2011,"Financial Year (Apr - Mar), 2011"
India,Spices,2011-12,Exports,858.2,13102.5,2011,"Financial Year (Apr - Mar), 2011"
India,Animal casings,2011-12,Exports,1.01,33.98,2011,"Financial Year (Apr - Mar), 2011"
India,Ayush and herbal products,2011-12,Exports,73.77,1696.97,2011,"Financial Year (Apr - Mar), 2011"
India,Cotton raw including Waste,2011-12,Imports,,1059.19,2011,"Financial Year (Apr - Mar), 2011"
India,Coffee,2011-12,Imports,46.06,469.52,2011,"Financial Year (Apr - Mar), 2011"
India,Buffalo meat,2011-12,Exports,984.96,13741.11,2011,"Financial Year (Apr - Mar), 2011"
India,Other oil seeds,2011-12,Imports,41.22,88.77,2011,"Financial Year (Apr - Mar), 2011"
